alias	alias_group	source
using	using	visual_genome_relationship_alias
using the	using	visual_genome_relationship_alias
coming into	coming into	visual_genome_relationship_alias
coming into a	coming into	visual_genome_relationship_alias
leaning against	leaning against	visual_genome_relationship_alias
leaning against a	leaning against	visual_genome_relationship_alias
are leaning against	leaning against	visual_genome_relationship_alias
are leaning against a	leaning against	visual_genome_relationship_alias
is leaning against	leaning against	visual_genome_relationship_alias
leaning against an	leaning against	visual_genome_relationship_alias
running with	running with	visual_genome_relationship_alias
running with a	running with	visual_genome_relationship_alias
orange	orange	visual_genome_relationship_alias
an orange	orange	visual_genome_relationship_alias
are orange	orange	visual_genome_relationship_alias
covered	covered	visual_genome_relationship_alias
covered a	covered	visual_genome_relationship_alias
are covered	covered	visual_genome_relationship_alias
colored like	colored like	visual_genome_relationship_alias
colored like a	colored like	visual_genome_relationship_alias
ton of	ton of	visual_genome_relationship_alias
a ton of	ton of	visual_genome_relationship_alias
lead up	lead up	visual_genome_relationship_alias
lead up a	lead up	visual_genome_relationship_alias
bicycle in front of	bicycle in front of	visual_genome_relationship_alias
bicycle in front of a	bicycle in front of	visual_genome_relationship_alias
two laptops in	two laptops in	visual_genome_relationship_alias
are two laptops in	two laptops in	visual_genome_relationship_alias
gushing down	gushing down	visual_genome_relationship_alias
gushing down a	gushing down	visual_genome_relationship_alias
under middle of	under middle of	visual_genome_relationship_alias
under middle of a	under middle of	visual_genome_relationship_alias
walking in	walking in	visual_genome_relationship_alias
walking in a	walking in	visual_genome_relationship_alias
are walking in	walking in	visual_genome_relationship_alias
walking in an	walking in	visual_genome_relationship_alias
are walking in a	walking in	visual_genome_relationship_alias
walking in the	walking in	visual_genome_relationship_alias
in th distance across from	in th distance across from	visual_genome_relationship_alias
in th distance across from a	in th distance across from	visual_genome_relationship_alias
branch in	branch in	visual_genome_relationship_alias
branch in a	branch in	visual_genome_relationship_alias
forks on	forks on	visual_genome_relationship_alias
forks on a	forks on	visual_genome_relationship_alias
enjoying ir time on	enjoying ir time on	visual_genome_relationship_alias
are enjoying ir time on	enjoying ir time on	visual_genome_relationship_alias
side near	side near	visual_genome_relationship_alias
side near a	side near	visual_genome_relationship_alias
cutting	cutting	visual_genome_relationship_alias
cutting a	cutting	visual_genome_relationship_alias
are cutting a	cutting	visual_genome_relationship_alias
a cutting	cutting	visual_genome_relationship_alias
are cutting	cutting	visual_genome_relationship_alias
cutting an	cutting	visual_genome_relationship_alias
coming off of	coming off of	visual_genome_relationship_alias
coming off of a	coming off of	visual_genome_relationship_alias
running after	running after	visual_genome_relationship_alias
running after a	running after	visual_genome_relationship_alias
hands	hands	visual_genome_relationship_alias
hands are	hands	visual_genome_relationship_alias
ourside	ourside	visual_genome_relationship_alias
are ourside	ourside	visual_genome_relationship_alias
growing outside	growing outside	visual_genome_relationship_alias
are growing outside	growing outside	visual_genome_relationship_alias
getting ready to launch	getting ready to launch	visual_genome_relationship_alias
getting ready to launch a	getting ready to launch	visual_genome_relationship_alias
lines on	lines on	visual_genome_relationship_alias
lines on a	lines on	visual_genome_relationship_alias
secure	secure	visual_genome_relationship_alias
secure a	secure	visual_genome_relationship_alias
heading to shore on	heading to shore on	visual_genome_relationship_alias
heading to shore on a	heading to shore on	visual_genome_relationship_alias
snow skiing on	snow skiing on	visual_genome_relationship_alias
snow skiing on a	snow skiing on	visual_genome_relationship_alias
wrapped around	wrapped around	visual_genome_relationship_alias
wrapped around a	wrapped around	visual_genome_relationship_alias
are wrapped around	wrapped around	visual_genome_relationship_alias
brown and	brown and	visual_genome_relationship_alias
are brown and	brown and	visual_genome_relationship_alias
who on	who on	visual_genome_relationship_alias
who on a	who on	visual_genome_relationship_alias
sniffing	sniffing	visual_genome_relationship_alias
are sniffing	sniffing	visual_genome_relationship_alias
sniffing a	sniffing	visual_genome_relationship_alias
has clothes that	has clothes that	visual_genome_relationship_alias
has clothes that are	has clothes that	visual_genome_relationship_alias
walking into	walking into	visual_genome_relationship_alias
are walking into	walking into	visual_genome_relationship_alias
eating from	eating from	visual_genome_relationship_alias
eating from a	eating from	visual_genome_relationship_alias
are eating from a	eating from	visual_genome_relationship_alias
are eating from	eating from	visual_genome_relationship_alias
crossing	crossing	visual_genome_relationship_alias
crossing a	crossing	visual_genome_relationship_alias
are crossing	crossing	visual_genome_relationship_alias
crossing the	crossing	visual_genome_relationship_alias
kneeling in	kneeling in	visual_genome_relationship_alias
are kneeling in	kneeling in	visual_genome_relationship_alias
kneeling in a	kneeling in	visual_genome_relationship_alias
beneath	beneath	visual_genome_relationship_alias
beneath a	beneath	visual_genome_relationship_alias
are beneath	beneath	visual_genome_relationship_alias
skis down	skis down	visual_genome_relationship_alias
skis down a	skis down	visual_genome_relationship_alias
shaking	shaking	visual_genome_relationship_alias
shaking a	shaking	visual_genome_relationship_alias
are shaking	shaking	visual_genome_relationship_alias
rowing	rowing	visual_genome_relationship_alias
rowing a	rowing	visual_genome_relationship_alias
by	by	visual_genome_relationship_alias
by a	by	visual_genome_relationship_alias
by the	by	visual_genome_relationship_alias
that pulling	that pulling	visual_genome_relationship_alias
that pulling a	that pulling	visual_genome_relationship_alias
coming off	coming off	visual_genome_relationship_alias
are coming off	coming off	visual_genome_relationship_alias
coming off a	coming off	visual_genome_relationship_alias
person flying	person flying	visual_genome_relationship_alias
person flying a	person flying	visual_genome_relationship_alias
rolled in	rolled in	visual_genome_relationship_alias
rolled in a	rolled in	visual_genome_relationship_alias
prepares to ride	prepares to ride	visual_genome_relationship_alias
prepares to ride a	prepares to ride	visual_genome_relationship_alias
man in a blue shirt pulling	man in a blue shirt pulling	visual_genome_relationship_alias
man in a blue shirt pulling a	man in a blue shirt pulling	visual_genome_relationship_alias
in side	in side	visual_genome_relationship_alias
in side a	in side	visual_genome_relationship_alias
drizzled on top	drizzled on top	visual_genome_relationship_alias
are drizzled on top	drizzled on top	visual_genome_relationship_alias
doing	doing	visual_genome_relationship_alias
doing a	doing	visual_genome_relationship_alias
are doing a	doing	visual_genome_relationship_alias
are doing	doing	visual_genome_relationship_alias
is doing a	doing	visual_genome_relationship_alias
strip	strip	visual_genome_relationship_alias
a strip	strip	visual_genome_relationship_alias
to a purse in	to a purse in	visual_genome_relationship_alias
to a purse in a	to a purse in	visual_genome_relationship_alias
does not have on	does not have on	visual_genome_relationship_alias
does not have on a	does not have on	visual_genome_relationship_alias
in a white tank top looking out of	in a white tank top looking out of	visual_genome_relationship_alias
in a white tank top looking out of a	in a white tank top looking out of	visual_genome_relationship_alias
leaning next to	leaning next to	visual_genome_relationship_alias
leaning next to a	leaning next to	visual_genome_relationship_alias
working on	working on	visual_genome_relationship_alias
working on a	working on	visual_genome_relationship_alias
are working on	working on	visual_genome_relationship_alias
wings of	wings of	visual_genome_relationship_alias
wings of a	wings of	visual_genome_relationship_alias
in center of	in center of	visual_genome_relationship_alias
in center of a	in center of	visual_genome_relationship_alias
shearing	shearing	visual_genome_relationship_alias
shearing a	shearing	visual_genome_relationship_alias
out	out	visual_genome_relationship_alias
out a	out	visual_genome_relationship_alias
are out	out	visual_genome_relationship_alias
covering back of	covering back of	visual_genome_relationship_alias
covering back of a	covering back of	visual_genome_relationship_alias
opened by	opened by	visual_genome_relationship_alias
opened by a	opened by	visual_genome_relationship_alias
can in	can in	visual_genome_relationship_alias
can in a	can in	visual_genome_relationship_alias
has nose of	has nose of	visual_genome_relationship_alias
has nose of a	has nose of	visual_genome_relationship_alias
res	res	visual_genome_relationship_alias
res a	res	visual_genome_relationship_alias
orange and	orange and	visual_genome_relationship_alias
are orange and	orange and	visual_genome_relationship_alias
going around	going around	visual_genome_relationship_alias
going around a	going around	visual_genome_relationship_alias
with hair in	with hair in	visual_genome_relationship_alias
with hair in a	with hair in	visual_genome_relationship_alias
person bent over on	person bent over on	visual_genome_relationship_alias
person bent over on a	person bent over on	visual_genome_relationship_alias
draped behind	draped behind	visual_genome_relationship_alias
draped behind a	draped behind	visual_genome_relationship_alias
relaxing on	relaxing on	visual_genome_relationship_alias
are relaxing on	relaxing on	visual_genome_relationship_alias
on ladys	on ladys	visual_genome_relationship_alias
are on ladys	on ladys	visual_genome_relationship_alias
standing wearing	standing wearing	visual_genome_relationship_alias
standing wearing a	standing wearing	visual_genome_relationship_alias
supports	supports	visual_genome_relationship_alias
supports a	supports	visual_genome_relationship_alias
red	red	visual_genome_relationship_alias
a red	red	visual_genome_relationship_alias
are red	red	visual_genome_relationship_alias
commercial jet parked on	commercial jet parked on	visual_genome_relationship_alias
commercial jet parked on a	commercial jet parked on	visual_genome_relationship_alias
that is on	that is on	visual_genome_relationship_alias
that is on the	that is on	visual_genome_relationship_alias
that is on a	that is on	visual_genome_relationship_alias
lininig	lininig	visual_genome_relationship_alias
are lininig	lininig	visual_genome_relationship_alias
each riding	each riding	visual_genome_relationship_alias
each riding a	each riding	visual_genome_relationship_alias
meeting in class	meeting in class	visual_genome_relationship_alias
are meeting in class	meeting in class	visual_genome_relationship_alias
digging	digging	visual_genome_relationship_alias
digging a	digging	visual_genome_relationship_alias
performing trick on	performing trick on	visual_genome_relationship_alias
performing trick on a	performing trick on	visual_genome_relationship_alias
playing with	playing with	visual_genome_relationship_alias
playing with a	playing with	visual_genome_relationship_alias
are playing with a	playing with	visual_genome_relationship_alias
are playing with	playing with	visual_genome_relationship_alias
and man	and man	visual_genome_relationship_alias
and man are	and man	visual_genome_relationship_alias
baseball helmet on	baseball helmet on	visual_genome_relationship_alias
baseball helmet on a	baseball helmet on	visual_genome_relationship_alias
strapes on bag	strapes on bag	visual_genome_relationship_alias
strapes on bag are	strapes on bag	visual_genome_relationship_alias
giraffe	giraffe	visual_genome_relationship_alias
a giraffe	giraffe	visual_genome_relationship_alias
full of parted	full of parted	visual_genome_relationship_alias
is full of parted	full of parted	visual_genome_relationship_alias
friends with	friends with	visual_genome_relationship_alias
is friends with a	friends with	visual_genome_relationship_alias
landed on	landed on	visual_genome_relationship_alias
landed on a	landed on	visual_genome_relationship_alias
taking pictures in	taking pictures in	visual_genome_relationship_alias
taking pictures in a	taking pictures in	visual_genome_relationship_alias
steering	steering	visual_genome_relationship_alias
steering a	steering	visual_genome_relationship_alias
repairing	repairing	visual_genome_relationship_alias
repairing a	repairing	visual_genome_relationship_alias
on each side of	on each side of	visual_genome_relationship_alias
on each side of a	on each side of	visual_genome_relationship_alias
are on each side of	on each side of	visual_genome_relationship_alias
mounted in	mounted in	visual_genome_relationship_alias
mounted in a	mounted in	visual_genome_relationship_alias
of a big	of a big	visual_genome_relationship_alias
are of a big	of a big	visual_genome_relationship_alias
on green	on green	visual_genome_relationship_alias
are on green	on green	visual_genome_relationship_alias
on cheeks	on cheeks	visual_genome_relationship_alias
are on cheeks	on cheeks	visual_genome_relationship_alias
as the eye on	as the eye on	visual_genome_relationship_alias
as the eye on the	as the eye on	visual_genome_relationship_alias
area	area	visual_genome_relationship_alias
area a	area	visual_genome_relationship_alias
area is	area	visual_genome_relationship_alias
skateboard	skateboard	visual_genome_relationship_alias
a skateboard	skateboard	visual_genome_relationship_alias
elevated above	elevated above	visual_genome_relationship_alias
are elevated above	elevated above	visual_genome_relationship_alias
woman sitting on	woman sitting on	visual_genome_relationship_alias
woman sitting on a	woman sitting on	visual_genome_relationship_alias
woman holding a wiener in	woman holding a wiener in	visual_genome_relationship_alias
woman holding a wiener in a	woman holding a wiener in	visual_genome_relationship_alias
crossing over	crossing over	visual_genome_relationship_alias
are crossing over	crossing over	visual_genome_relationship_alias
crossing over a	crossing over	visual_genome_relationship_alias
and veggies in	and veggies in	visual_genome_relationship_alias
and veggies in a	and veggies in	visual_genome_relationship_alias
siding of	siding of	visual_genome_relationship_alias
siding of a	siding of	visual_genome_relationship_alias
piled on	piled on	visual_genome_relationship_alias
piled on an	piled on	visual_genome_relationship_alias
are piled on	piled on	visual_genome_relationship_alias
piled on a	piled on	visual_genome_relationship_alias
person walking on	person walking on	visual_genome_relationship_alias
person walking on a	person walking on	visual_genome_relationship_alias
stacked on top	stacked on top	visual_genome_relationship_alias
are stacked on top	stacked on top	visual_genome_relationship_alias
letter on	letter on	visual_genome_relationship_alias
letter on a	letter on	visual_genome_relationship_alias
approaching	approaching	visual_genome_relationship_alias
are approaching	approaching	visual_genome_relationship_alias
frying in	frying in	visual_genome_relationship_alias
are frying in a	frying in	visual_genome_relationship_alias
designed	designed	visual_genome_relationship_alias
are designed	designed	visual_genome_relationship_alias
looking around	looking around	visual_genome_relationship_alias
looking around a	looking around	visual_genome_relationship_alias
playing	playing	visual_genome_relationship_alias
are playing	playing	visual_genome_relationship_alias
spans	spans	visual_genome_relationship_alias
spans a	spans	visual_genome_relationship_alias
churning around	churning around	visual_genome_relationship_alias
are churning around	churning around	visual_genome_relationship_alias
with their	with their	visual_genome_relationship_alias
are with their	with their	visual_genome_relationship_alias
arrangement on	arrangement on	visual_genome_relationship_alias
arrangement on a	arrangement on	visual_genome_relationship_alias
wheel of	wheel of	visual_genome_relationship_alias
wheel of a	wheel of	visual_genome_relationship_alias
wheel of an	wheel of	visual_genome_relationship_alias
ready for	ready for	visual_genome_relationship_alias
are ready for	ready for	visual_genome_relationship_alias
on surface of	on surface of	visual_genome_relationship_alias
are on surface of	on surface of	visual_genome_relationship_alias
on surface of a	on surface of	visual_genome_relationship_alias
scene	scene	visual_genome_relationship_alias
scene a	scene	visual_genome_relationship_alias
taken in	taken in	visual_genome_relationship_alias
taken in a	taken in	visual_genome_relationship_alias
outside on	outside on	visual_genome_relationship_alias
outside on a	outside on	visual_genome_relationship_alias
have	have	visual_genome_relationship_alias
have a	have	visual_genome_relationship_alias
partially out of	partially out of	visual_genome_relationship_alias
partially out of a	partially out of	visual_genome_relationship_alias
of tank over	of tank over	visual_genome_relationship_alias
of tank over a	of tank over	visual_genome_relationship_alias
outside of	outside of	visual_genome_relationship_alias
outside of a	outside of	visual_genome_relationship_alias
are outside of	outside of	visual_genome_relationship_alias
tacks of cups on back of	tacks of cups on back of	visual_genome_relationship_alias
tacks of cups on back of a	tacks of cups on back of	visual_genome_relationship_alias
added with	added with	visual_genome_relationship_alias
are added with	added with	visual_genome_relationship_alias
women walking on	women walking on	visual_genome_relationship_alias
women walking on a	women walking on	visual_genome_relationship_alias
leaf on	leaf on	visual_genome_relationship_alias
leaf on a	leaf on	visual_genome_relationship_alias
runs through	runs through	visual_genome_relationship_alias
runs through a	runs through	visual_genome_relationship_alias
bears	bears	visual_genome_relationship_alias
bears an	bears	visual_genome_relationship_alias
covering top of	covering top of	visual_genome_relationship_alias
covering top of a	covering top of	visual_genome_relationship_alias
on a mans	on a mans	visual_genome_relationship_alias
are on a mans	on a mans	visual_genome_relationship_alias
being used in	being used in	visual_genome_relationship_alias
being used in a	being used in	visual_genome_relationship_alias
hovering over	hovering over	visual_genome_relationship_alias
hovering over a	hovering over	visual_genome_relationship_alias
dark cap	dark cap	visual_genome_relationship_alias
a dark cap	dark cap	visual_genome_relationship_alias
constructed with	constructed with	visual_genome_relationship_alias
are constructed with	constructed with	visual_genome_relationship_alias
decorations	decorations	visual_genome_relationship_alias
are decorations	decorations	visual_genome_relationship_alias
standing alongside	standing alongside	visual_genome_relationship_alias
standing alongside a	standing alongside	visual_genome_relationship_alias
worn up	worn up	visual_genome_relationship_alias
worn up a	worn up	visual_genome_relationship_alias
behind	behind	visual_genome_relationship_alias
behind the	behind	visual_genome_relationship_alias
behind a	behind	visual_genome_relationship_alias
doing a jump on	doing a jump on	visual_genome_relationship_alias
doing a jump on a	doing a jump on	visual_genome_relationship_alias
hat	hat	visual_genome_relationship_alias
hat a	hat	visual_genome_relationship_alias
flooring in	flooring in	visual_genome_relationship_alias
flooring in a	flooring in	visual_genome_relationship_alias
stand under	stand under	visual_genome_relationship_alias
stand under a	stand under	visual_genome_relationship_alias
bike next	bike next	visual_genome_relationship_alias
a bike next	bike next	visual_genome_relationship_alias
lady driving	lady driving	visual_genome_relationship_alias
lady driving a	lady driving	visual_genome_relationship_alias
shorts	shorts	visual_genome_relationship_alias
shorts are	shorts	visual_genome_relationship_alias
pouring tea from	pouring tea from	visual_genome_relationship_alias
pouring tea from a	pouring tea from	visual_genome_relationship_alias
equipped for	equipped for	visual_genome_relationship_alias
equipped for a	equipped for	visual_genome_relationship_alias
brush next to	brush next to	visual_genome_relationship_alias
brush next to a	brush next to	visual_genome_relationship_alias
trying to ride	trying to ride	visual_genome_relationship_alias
trying to ride a	trying to ride	visual_genome_relationship_alias
hitting	hitting	visual_genome_relationship_alias
hitting the	hitting	visual_genome_relationship_alias
drinking from	drinking from	visual_genome_relationship_alias
drinking from a	drinking from	visual_genome_relationship_alias
car has	car has	visual_genome_relationship_alias
car has a	car has	visual_genome_relationship_alias
reflecting	reflecting	visual_genome_relationship_alias
reflecting a	reflecting	visual_genome_relationship_alias
are reflecting	reflecting	visual_genome_relationship_alias
trying to grab	trying to grab	visual_genome_relationship_alias
trying to grab a	trying to grab	visual_genome_relationship_alias
stands together with	stands together with	visual_genome_relationship_alias
stands together with a	stands together with	visual_genome_relationship_alias
sitting near	sitting near	visual_genome_relationship_alias
sitting near a	sitting near	visual_genome_relationship_alias
are sitting near	sitting near	visual_genome_relationship_alias
runs along	runs along	visual_genome_relationship_alias
runs along a	runs along	visual_genome_relationship_alias
running under	running under	visual_genome_relationship_alias
running under a	running under	visual_genome_relationship_alias
travelling on	travelling on	visual_genome_relationship_alias
travelling on a	travelling on	visual_genome_relationship_alias
on flowers	on flowers	visual_genome_relationship_alias
on flowers are	on flowers	visual_genome_relationship_alias
waits for	waits for	visual_genome_relationship_alias
waits for a	waits for	visual_genome_relationship_alias
taking people for	taking people for	visual_genome_relationship_alias
taking people for a	taking people for	visual_genome_relationship_alias
kite here	kite here	visual_genome_relationship_alias
a kite here	kite here	visual_genome_relationship_alias
bed	bed	visual_genome_relationship_alias
a bed	bed	visual_genome_relationship_alias
on the back of	on the back of	visual_genome_relationship_alias
on the back of the	on the back of	visual_genome_relationship_alias
on the back of a	on the back of	visual_genome_relationship_alias
on the back of an	on the back of	visual_genome_relationship_alias
metal back part of	metal back part of	visual_genome_relationship_alias
metal back part of a	metal back part of	visual_genome_relationship_alias
festival for	festival for	visual_genome_relationship_alias
a festival for	festival for	visual_genome_relationship_alias
bare	bare	visual_genome_relationship_alias
a bare	bare	visual_genome_relationship_alias
leading to	leading to	visual_genome_relationship_alias
are leading to	leading to	visual_genome_relationship_alias
leading to a	leading to	visual_genome_relationship_alias
leading to an	leading to	visual_genome_relationship_alias
leading to the	leading to	visual_genome_relationship_alias
for serving	for serving	visual_genome_relationship_alias
are for serving	for serving	visual_genome_relationship_alias
nuzzling	nuzzling	visual_genome_relationship_alias
nuzzling a	nuzzling	visual_genome_relationship_alias
hangs over	hangs over	visual_genome_relationship_alias
hangs over a	hangs over	visual_genome_relationship_alias
holding on to	holding on to	visual_genome_relationship_alias
holding on to a	holding on to	visual_genome_relationship_alias
are holding on to	holding on to	visual_genome_relationship_alias
holding on to an	holding on to	visual_genome_relationship_alias
carrots	carrots	visual_genome_relationship_alias
carrots are	carrots	visual_genome_relationship_alias
open to	open to	visual_genome_relationship_alias
open to a	open to	visual_genome_relationship_alias
squeezed in	squeezed in	visual_genome_relationship_alias
squeezed in a	squeezed in	visual_genome_relationship_alias
decorated with	decorated with	visual_genome_relationship_alias
decorated with a	decorated with	visual_genome_relationship_alias
on underside of	on underside of	visual_genome_relationship_alias
on underside of a	on underside of	visual_genome_relationship_alias
sidewalk	sidewalk	visual_genome_relationship_alias
a sidewalk	sidewalk	visual_genome_relationship_alias
have	have	visual_genome_relationship_alias
have a	have	visual_genome_relationship_alias
have an	have	visual_genome_relationship_alias
parked to	parked to	visual_genome_relationship_alias
are parked to	parked to	visual_genome_relationship_alias
back door on	back door on	visual_genome_relationship_alias
a back door on	back door on	visual_genome_relationship_alias
on floor	on floor	visual_genome_relationship_alias
are on floor	on floor	visual_genome_relationship_alias
strip on	strip on	visual_genome_relationship_alias
a strip on	strip on	visual_genome_relationship_alias
crashing into	crashing into	visual_genome_relationship_alias
are crashing into	crashing into	visual_genome_relationship_alias
crashing into a	crashing into	visual_genome_relationship_alias
group of people standing on	group of people standing on	visual_genome_relationship_alias
group of people standing on a	group of people standing on	visual_genome_relationship_alias
chimney of	chimney of	visual_genome_relationship_alias
chimney of a	chimney of	visual_genome_relationship_alias
available in	available in	visual_genome_relationship_alias
are available in	available in	visual_genome_relationship_alias
knife on	knife on	visual_genome_relationship_alias
knife on a	knife on	visual_genome_relationship_alias
wood frame with	wood frame with	visual_genome_relationship_alias
wood frame with a	wood frame with	visual_genome_relationship_alias
hold in	hold in	visual_genome_relationship_alias
hold in a	hold in	visual_genome_relationship_alias
sitting with	sitting with	visual_genome_relationship_alias
sitting with a	sitting with	visual_genome_relationship_alias
sitting with an	sitting with	visual_genome_relationship_alias
frame of	frame of	visual_genome_relationship_alias
frame of a	frame of	visual_genome_relationship_alias
all dressed in	all dressed in	visual_genome_relationship_alias
are all dressed in a	all dressed in	visual_genome_relationship_alias
using their	using their	visual_genome_relationship_alias
are using their	using their	visual_genome_relationship_alias
sitting right of	sitting right of	visual_genome_relationship_alias
are sitting right of	sitting right of	visual_genome_relationship_alias
laying along	laying along	visual_genome_relationship_alias
are laying along	laying along	visual_genome_relationship_alias
at base	at base	visual_genome_relationship_alias
are at base	at base	visual_genome_relationship_alias
passing under	passing under	visual_genome_relationship_alias
passing under a	passing under	visual_genome_relationship_alias
of faces on side of	of faces on side of	visual_genome_relationship_alias
of faces on side of an	of faces on side of	visual_genome_relationship_alias
with letter of alphabet and	with letter of alphabet and	visual_genome_relationship_alias
with letter of alphabet and a	with letter of alphabet and	visual_genome_relationship_alias
green in	green in	visual_genome_relationship_alias
are green in	green in	visual_genome_relationship_alias
book on	book on	visual_genome_relationship_alias
book on a	book on	visual_genome_relationship_alias
who	who	visual_genome_relationship_alias
who are	who	visual_genome_relationship_alias
plugging	plugging	visual_genome_relationship_alias
are plugging	plugging	visual_genome_relationship_alias
used as	used as	visual_genome_relationship_alias
used as a	used as	visual_genome_relationship_alias
chair casting	chair casting	visual_genome_relationship_alias
chair casting a	chair casting	visual_genome_relationship_alias
that scratching	that scratching	visual_genome_relationship_alias
that scratching a	that scratching	visual_genome_relationship_alias
stands near	stands near	visual_genome_relationship_alias
stands near a	stands near	visual_genome_relationship_alias
in th	in th	visual_genome_relationship_alias
are in th	in th	visual_genome_relationship_alias
behaving very	behaving very	visual_genome_relationship_alias
are behaving very	behaving very	visual_genome_relationship_alias
red and white windsock on	red and white windsock on	visual_genome_relationship_alias
red and white windsock on a	red and white windsock on	visual_genome_relationship_alias
metal tower with	metal tower with	visual_genome_relationship_alias
metal tower with a	metal tower with	visual_genome_relationship_alias
gathering in	gathering in	visual_genome_relationship_alias
gathering in a	gathering in	visual_genome_relationship_alias
being held in	being held in	visual_genome_relationship_alias
are being held in	being held in	visual_genome_relationship_alias
man and a dog	man and a dog	visual_genome_relationship_alias
a man and a dog	man and a dog	visual_genome_relationship_alias
for transporting	for transporting	visual_genome_relationship_alias
are for transporting	for transporting	visual_genome_relationship_alias
cast by	cast by	visual_genome_relationship_alias
cast by an	cast by	visual_genome_relationship_alias
cast by a	cast by	visual_genome_relationship_alias
dirt ground around	dirt ground around	visual_genome_relationship_alias
dirt ground around a	dirt ground around	visual_genome_relationship_alias
stacked together on	stacked together on	visual_genome_relationship_alias
stacked together on a	stacked together on	visual_genome_relationship_alias
that make	that make	visual_genome_relationship_alias
that make a	that make	visual_genome_relationship_alias
screen showing	screen showing	visual_genome_relationship_alias
screen showing a	screen showing	visual_genome_relationship_alias
face	face	visual_genome_relationship_alias
face are	face	visual_genome_relationship_alias
placed on	placed on	visual_genome_relationship_alias
are placed on	placed on	visual_genome_relationship_alias
placed on a	placed on	visual_genome_relationship_alias
is placed on a	placed on	visual_genome_relationship_alias
leaning over	leaning over	visual_genome_relationship_alias
leaning over an	leaning over	visual_genome_relationship_alias
leaning over a	leaning over	visual_genome_relationship_alias
skiers are at edge of	skiers are at edge of	visual_genome_relationship_alias
skiers are at edge of a	skiers are at edge of	visual_genome_relationship_alias
sitting and watching	sitting and watching	visual_genome_relationship_alias
sitting and watching an	sitting and watching	visual_genome_relationship_alias
logo on	logo on	visual_genome_relationship_alias
logo on a	logo on	visual_genome_relationship_alias
juggling on	juggling on	visual_genome_relationship_alias
juggling on a	juggling on	visual_genome_relationship_alias
painting	painting	visual_genome_relationship_alias
painting a	painting	visual_genome_relationship_alias
logo of	logo of	visual_genome_relationship_alias
logo of a	logo of	visual_genome_relationship_alias
roaming in	roaming in	visual_genome_relationship_alias
roaming in a	roaming in	visual_genome_relationship_alias
teddy bear	teddy bear	visual_genome_relationship_alias
a teddy bear	teddy bear	visual_genome_relationship_alias
full pizza in	full pizza in	visual_genome_relationship_alias
full pizza in a	full pizza in	visual_genome_relationship_alias
white bus	white bus	visual_genome_relationship_alias
white bus are	white bus	visual_genome_relationship_alias
kite	kite	visual_genome_relationship_alias
a kite	kite	visual_genome_relationship_alias
on same pole	on same pole	visual_genome_relationship_alias
are on same pole	on same pole	visual_genome_relationship_alias
row of lights hanging from	row of lights hanging from	visual_genome_relationship_alias
row of lights hanging from a	row of lights hanging from	visual_genome_relationship_alias
eating leaves off of	eating leaves off of	visual_genome_relationship_alias
eating leaves off of a	eating leaves off of	visual_genome_relationship_alias
travels on top of	travels on top of	visual_genome_relationship_alias
travels on top of a	travels on top of	visual_genome_relationship_alias
wiper on	wiper on	visual_genome_relationship_alias
wiper on a	wiper on	visual_genome_relationship_alias
reflectioin in	reflectioin in	visual_genome_relationship_alias
reflectioin in a	reflectioin in	visual_genome_relationship_alias
watch	watch	visual_genome_relationship_alias
watch a	watch	visual_genome_relationship_alias
lined in	lined in	visual_genome_relationship_alias
lined in a	lined in	visual_genome_relationship_alias
are lined in a	lined in	visual_genome_relationship_alias
parked	parked	visual_genome_relationship_alias
is parked	parked	visual_genome_relationship_alias
are parked	parked	visual_genome_relationship_alias
lake peaceful	lake peaceful	visual_genome_relationship_alias
a lake peaceful	lake peaceful	visual_genome_relationship_alias
laying with	laying with	visual_genome_relationship_alias
laying with a	laying with	visual_genome_relationship_alias
zebra standing on	zebra standing on	visual_genome_relationship_alias
zebra standing on a	zebra standing on	visual_genome_relationship_alias
on man	on man	visual_genome_relationship_alias
on man are	on man	visual_genome_relationship_alias
person leaning up against	person leaning up against	visual_genome_relationship_alias
person leaning up against a	person leaning up against	visual_genome_relationship_alias
baseball player	baseball player	visual_genome_relationship_alias
a baseball player	baseball player	visual_genome_relationship_alias
of lotion on	of lotion on	visual_genome_relationship_alias
of lotion on a	of lotion on	visual_genome_relationship_alias
clutching	clutching	visual_genome_relationship_alias
are clutching	clutching	visual_genome_relationship_alias
leads to	leads to	visual_genome_relationship_alias
leads to a	leads to	visual_genome_relationship_alias
tall and	tall and	visual_genome_relationship_alias
are tall and	tall and	visual_genome_relationship_alias
perpendicular wi	perpendicular wi	visual_genome_relationship_alias
are perpendicular wi	perpendicular wi	visual_genome_relationship_alias
on torso of	on torso of	visual_genome_relationship_alias
on torso of a	on torso of	visual_genome_relationship_alias
of people watching	of people watching	visual_genome_relationship_alias
of people watching a	of people watching	visual_genome_relationship_alias
growing beside	growing beside	visual_genome_relationship_alias
are growing beside	growing beside	visual_genome_relationship_alias
won	won	visual_genome_relationship_alias
won a	won	visual_genome_relationship_alias
preparing to kick	preparing to kick	visual_genome_relationship_alias
preparing to kick a	preparing to kick	visual_genome_relationship_alias
in	in	visual_genome_relationship_alias
are in	in	visual_genome_relationship_alias
nt wearing	nt wearing	visual_genome_relationship_alias
nt wearing a	nt wearing	visual_genome_relationship_alias
riding	riding	visual_genome_relationship_alias
riding a	riding	visual_genome_relationship_alias
