term	count	synsets	alias_group
on upper part	1		
placed at	1	put.v.01	
suffering	1		
from being assulted b	1		
askew on	1	along.r.01	
standing behind her	1		
dplay of art	1		
vase shaped	1		
on head of face on side of	1		
leaning back towards	1		
bottle on center	1		
of adult people sitting around a round	1		
and woman sitting posing for a	1		and woman sitting posing for
with grey metal and black	1		
went through	1	become.v.01	
standing in front of another	1	stand.v.01	
opposite side	1	be.v.01	
cruising across	1	across.r.01	
of left hand	1	leave.v.01	
connecting parts of	1	associate.v.01	
walking within	1		
digging into a	1		digging into
are gathered to make a	1	be.v.01	gathered to make
rectangle with navy blue inside and numbers that say	1		
color sea	1		
color stripes in	1		
animal beside	1		
on teddy	1		
of white stuffed	1		
tan dog and brown teddy bear	1		
leans in to kiss	1		
a loved robot from star wars	1		loved robot from star wars
swallowing	1		
hanging off door	1	away.r.01	
pin on the	1	along.r.01	pin on
on step of	1	along.r.01	on step of
zebra to far	1		
skiing doiwn a	1		skiing doiwn
take a big	1	necessitate.v.01	
fixed to side of	1	fix.v.12	
of a sleeping	1		
on side of baseball	1		
left tire on	1		
color bumper of	1		
color body of	1		
tire for	1		
of a near by	1		
on broccol	1	along.r.01	
are walking on a	1		walking on
a dirt	1		dirt
on a dirt	1		
path through	1		
wearing white shirt standing in grassy	1		
big wave in middle of	1		
stirr	1		
wearing silky blue	1		
high doing trick in	1		
holding video	1		
wearing keen	1		
wearing orange color	1		
worn by the	1		worn by
looking straight	1	be.v.01	
has hands behind	1		
clubs on	1		
with most horizontal	1		
of zebra covered by	1		
cropping	1	crop.v.05	
lined against	1	trace.v.02	
stands next	1	stand.v.01	
of a double decker	1	duplicate.v.01	
passenger steps off bus with his messenger	1		
large bottle of	1		
person holding a yellow	1		
on side of blue	1		
stepping off a	1		stepping off
has on a pink	1		
are on bottom of a	1		on bottom of
in loud clothes on a	1		in loud clothes on
splash in	1		
in black shorts riding a	1		in black shorts riding
wearing swimming	1		
asleep in a	1	in.r.01	asleep in
tolling	1		
balancing himself with	1		
off right of	1		
visible next to	1		
a gift for	1	be.v.01	gift for
far off beside	1	away.r.01	
item on	1		item on
with something in	1	in.r.01	
with something in her	1	in.r.01	
ready to return	1		
walking behind parked	1	walk.v.01	
brushing their	1		
on teddy bear	1	along.r.01	
pulling another	1	be.v.01	
leaning against an	1		leaning against
has multicolor	1	have.v.01	
color ear of	1	color.v.01	
has fuchia	1	have.v.01	
keybord	1		
gets out of	1	get_down.v.07	
brown framed	1		
tied beneath h	1	below.r.01	
sticking inside	1	stay.v.02	
computer sitting	1		
skated by	1		
are dumped by	1		dumped by
tosses	1		
feet in	1		
dangling against	1		
bakes	1	bake.v.01	
with growing	1	turn.v.07	
sitting in train	1		
seen on edge of	1		
if a	1		if
glowing in	1		
in red dress on	1		
watching dog swim in	1	watch.v.01	
leading dog around	1	lead.v.01	
looking in opposite	1	look.v.02	
on interior	1		
fork have green	1		
pouring mix in	1		
perrking through	1		
on thee	1	along.r.01	
swimming near	1	about.r.07	
looking at something in h	1		
remote on a	1		remote on
in skiers left	1		
in skiers right	1		
sitting and reading	1		
laying idly on	1		
around seat post of	1		
on store	1		
diplasyed on	1		
swimming beside	1		
pink letter	1		
small pink	1		
platform made of gray	1		
undercarriage of a	1		undercarriage of
paint indicating a place not to	1		
big pink	1		
sticking out over	1	stay.v.02	
working under	1		
around nose of	1	approximately.r.01	
lost their	1		
shining onn	1	glitter.v.01	
dining on	1	along.r.01	dining on
wall of a	1		wall of
stepping on h	1		
on an airplane	1	along.r.01	
with an airplane	1		
from walking	1	walk.v.01	
cruising up	1	up.r.01	
fllying in	1	in.r.01	
curved in middle by	1		
for training train	1		
ridding	1		ridding
on wave in	1		
illuminated on top of	1	along.r.01	
of a wall	1		
of a glass shower	1		
giving advice to	1	give.v.01	
are driving alongside	1	be.v.01	driving alongside
in back corner	1		
on top of tin	1	along.r.01	
poised to serve	1	serve.v.01	
from water	1	water.v.01	
kite boarding in	1	in.r.01	
spun around	1	approximately.r.01	
motoring across	1	drive.v.02	
splashing into	1		
red curve	1		
above persons	1		
being poured into a	1		being poured into
steering their	1	steer.v.01	
shirt worn	1	wear.v.01	
wearing a high	1	wear.v.01	
doing water sports on	1	make.v.01	
of utensil on	1	along.r.01	
about to lose	1	about.r.07	
stretched out on a	1		stretched out on
braids	1	braid.v.01	
knee without	1		
turned to side to look down	1		
wearing cargo	1	be.v.01	
has takeout	1	have.v.01	
seems pleased with	1	look.v.02	
underlying	1		
strengthened	1		
existing	1		
doing trick in	1	make.v.01	
gets ready to	1	get_down.v.07	
indicates location of	1		
raised up	1		
and blue warning	1		
kying on	1	along.r.01	
folding card	1		
basket with	1		
strewn together with	1	together.r.01	
balancing as they	1		
wearing red and gray	1		
are on stone	1	be.v.01	on stone
on a dplay with	1		
wait in	1	wait.v.01	
next to piece of	1		
cookie tin on	1		
in a toasted	1		
are stacked on a	1	be.v.01	stacked on
pooled under	1		
sides have	1	have.v.01	
an outdoors	1		outdoors
fork on	1		fork on
beneath pizza	1		
beneath pizza on	1		
has cheese on	1		
roadside	1		
hooking a	1	overcharge.v.01	hooking
doing trick down	1		
stinking out of	1	away.r.02	
spice on	1		
smiling toward	1		
walking donw	1	walk.v.01	
showing end of	1	show.v.01	
grows beside	1	turn.v.07	
plastic toilet	1		
and white parking	1		
and about to throw a	1	about.r.07	and about to throw
for where to stop at	1	discontinue.v.01	
turning left at an	1		turning left at
fading from	1		
has best	1	have.v.01	
has a very short	1	have.v.01	
of stop	1		
street sign	1		
says one	1		
of crown molding on	1		
clasping on	1	along.r.01	
are laying down in	1		laying down in
are near the	1		near
knob on white	1		
are the	1		
kept in side of	1		
in lane of	1	in.r.01	
dplayed on	1		
made with various	1		
angled up in	1		
iron stand to hold	1		
walking very	1		
that is on the	1		that is on
on wave made a	1	make.v.01	on wave made
route to	1		
protrudes in	1	in.r.01	
played with	1	play.v.01	
kept safe by	1	keep.v.01	
kicked up on	1		
are lined on	1		lined on
are sitting around a	1		sitting around
has food	1		
reading aloud	1		
going over edge of	1	become.v.01	
on reflection of	1		
flying through the	1		flying through
dressed up on a	1		dressed up on
fixed	1		
syas	1		
says custom made	1		
pulling many	1		
fast looking	1		
leaving over	1	leave.v.01	
station on	1	along.r.01	
lit inside	1	light.v.01	
underneath a dark cloudy	1		
lies with	1	lie.v.01	
next to drive through	1		
with height accessible to	1		
jumping in the	1		jumping in
playing frisbee with h	1		
happily playing with	1		
that pulling a	1	be.v.01	that pulling
used to connect a	1	use.v.01	used to connect
full of different types of	1	fully.r.01	
slanting	1		
vacuuming	1	vacuum.v.01	
of a flip	1	flip.v.06	
meeting in a	1	meet.v.01	meeting in
unpacking	1	be.v.01	
going straight	1	become.v.01	
near her	1		
walk up	1	walk.v.01	
order from	1	order.v.01	
wash of	1		
racing across	1		
enjoying outing in	1		
rising out	1		
making v sign with her	1		
underneaht	1		
golding	1		
in little girls	1	in.r.01	
built from landside to	1	construct.v.01	
obfuscated by an	1		obfuscated by
standing on corner	1		
sprouted from	1	shoot.v.19	
painted on underside of	1		
collecting money at	1	gather.v.01	
spilling over	1		
formed for	1		
makes some	1		
dragging in	1		
at foot of a	1	be.v.01	at foot of
covered hill on	1	traverse.v.01	
retaining blocks	1	stop.v.03	
of baked	1	bake.v.01	
dropping into	1	spend.v.02	
streaked with	1		
putting together a	1		putting together
at ends of	1	end.v.01	
glass vase featuring a	1		glass vase featuring
of neutral colored rocks in bottom of	1		
knotting	1	knot.v.01	
grows on edge of	1		
speaker on	1	along.r.01	
with cat	1	vomit.v.01	
very big	1	very.r.01	
smooth wooden	1	polish.v.01	
whiskers	1		
monitor on	1	along.r.01	
are large and	1	be.v.01	large and
standing in a row	1		
with bald	1		
towind a	1	be.v.01	towind
twisting through	1		
tacked	1		
concentrating	1		
to step on	1		
about to step on	1	about.r.07	
placed neatly on a	1	put.v.01	placed neatly on
being worn on a	1		being worn on
a poster on	1		poster on
asleep	1	asleep.r.01	
made of many	1		
wearing addidas	1		
grabbing tenn racket in both	1		
preparing to ride	1		
sailing at edge of	1		
syrup on	1	along.r.01	
of liquid soap on	1	along.r.01	
come	1		
sticking off top of	1		
seafood	1		
fresh green	1		
circle around piece of	1		
of a horse	1		
across top of stall	1		
bobbing on	1		
on outskirts of	1	along.r.01	
outer	1		
parked below	1		
with a primarily	1		
flowing in the	1		flowing in
bursting from	1		
reaching up towards	1	achieve.v.01	
on chain in front of red	1		
are on around	1		on around
looking at a wedding	1		
bent over with a	1	bend.v.01	bent over with
extended out	1	run.v.03	
msing a	1		msing
manufactured	1	manufacture.v.01	
next to front of	1	front.v.01	
running towards base wearing	1		
holding bottom part of	1		
of lights hanging from	1	hang.v.01	
trying to fit	1	try.v.01	
resting on her	1	be.v.01	
fixes clock to	1		
flying away	1	away.r.01	
of fireplace behind	1		
in close	1		
sunk on	1	along.r.01	
next door to a	1	next.r.01	next door to
taking picturephotographing	1		
brimmed with	1		
down center	1	down.r.01	
half filling	1	fill.v.01	
lounging on top of	1		
are on cats	1	be.v.01	on cats
up to mans	1	be.v.01	
logo on a	1	along.r.01	logo on
white dog statues	1		
expecting	1	expect.v.01	
parked outside of a	1		parked outside of
arranding	1		
dressedwearing	1		
dressed inwearing	1		
weaing	1		
under a directional	1		
carved underneath	1		
wave crashing into a	1		wave crashing into
swimming with h	1		
crashing into a	1		crashing into
man surfing in	1		
swimming on a	1		swimming on
slot in	1	in.r.01	
and tv on	1	along.r.01	
closing in on	1		
hunting in	1	in.r.01	
in one of	1	in.r.01	
explaning	1		
kitten next to a	1		kitten next to
stepping off of	1		
kneeling close to	1	close.v.01	
pulled on top of	1		
worn at	1		
pulls down	1		
bound with	1		
of panda surrounded by	1		
taking picure in	1	necessitate.v.01	
with length past	1	by.r.01	
attached to to	1	attach.v.01	
fees	1		
let enter	1		
stickin on	1	along.r.01	
log painted	1	paint.v.01	
upon a	1		upon
ladder next to	1	next.r.01	
on top of stack of	1	along.r.01	
infront of	1		infront of
sitting in corner of	1		
blue ten	1		
tennis courts	1		
casted on the	1		casted on
to put foot on	1		
with black strap hanging	1		
sleeping on black	1		
shining on mans	1	along.r.01	
hung up in	1		
on elephant playing	1		
straddled on thee back of	1		
kept in front of	1		
ffront	1		
fits easily on	1		
enjoying himself	1	enjoy.v.01	
are growing above	1		growing above
doing acrobatics in	1	make.v.01	
escorts girl riding	1		
in tshirt walking beside	1		
with shopping	1	shop.v.01	
with black straps on	1	along.r.01	
on front of h	1		
peering out from	1	peer.v.01	
have fallen	1	have.v.01	
rest on a	1		rest on
toilet paper holder on	1		
on wall beside toilet paper	1		
rest attached to toilet	1		
of thick dry	1		
a kitten	1		kitten
skating off a	1	away.r.01	skating off
slung over her	1	over.r.01	
via	1		
in background wearing	1		
to have	1	have.v.01	
squatted on	1	along.r.01	
being thrown from	1	be.v.01	
bucking off	1	away.r.01	
walking by body of	1		
collied with	1	dirty.v.01	
used to support	1		
hanging out of a	1		hanging out of
posted under	1	mail.v.02	
sitting back to	1	sit.v.01	
stacked to make	1	make.v.01	
food for	1		
treating to	1	cover.v.05	
recorking	1		
whispering	1		
in red holding	1		
man standing on a	1		man standing on
underneath white	1		
inside white	1		
peeking out between	1		
hangs our	1		
sitting onon	1		
in skateboard	1	in.r.01	
in grass playing with	1		
of things on	1		
growing around rock	1	approximately.r.01	
shaft	1		
with black and	1		
twisting top of	1		
brushing his	1		
doing skate trick off	1		
made of monitors	1	make.v.01	
has a scabbed	1	have.v.01	
indicating what type of	1		
are on persons	1		on persons
flipping from	1		
flipping by	1		
thrown a	1	hold.v.03	thrown
minding	1	mind.v.01	
not in a	1		not in
rising to meet	1	meet.v.01	
tied to dock on	1	along.r.01	
extended into	1	be.v.01	
running lenght of	1	be.v.01	
expelling into	1	oust.v.01	
connecting at	1	associate.v.01	
near a school	1	about.r.07	
lies over	1	lie.v.01	
holding a cellphone	1	have.v.01	
seen in spots above	1		
takes off from	1		
spraying up around	1		
at top to run	1		
standing and watching	1		
chewing on a	1		chewing on
on wall in front of	1		
fixture with	1		
with blue at	1		
tear in	1		
flying off ramp on	1		
of water sitting on	1		
being controlled by one	1		
distant	1		
mans silly	1		
made of concrete	1		
piping	1	shoot.v.01	
being ridden on gray	1	be.v.01	
hanging from buttom of a	1		hanging from buttom of
that have been rubbed out on side of	1		
backed by	1		
spilts in	1	in.r.01	
grasped in	1		
inside body of	1	inside.r.01	
holding piece	1	be.v.01	
with socks eats	1	eat.v.01	
floating on back in	1		
peeking up over side of	1		
outstretched h	1		
spreadeagled in air above	1		
picture on front of	1		
that have fallen off of	1	have.v.01	
man wearing a baseball	1		
flipping over	1	be.v.01	
rides an	1	depend_on.v.01	rides
riding on her	1		
gallops with h	1		
on feature of	1	have.v.02	
along edges of	1		
floating next to	1	be.v.01	
rafting on	1	along.r.01	
leaning toward a	1		leaning toward
walking alongside its	1		
parked on other side of	1		
in middle with	1	in.r.01	
sheared off	1		
oversee	1	oversee.v.01	
parasailing into	1		
not eating	1		
and brown graphic shecked coffee	1		
wears a purple top with pearl	1		
round white pedestal coffee	1		
are onn	1		onn
taking off from an	1		taking off from
in h left	1	be.v.01	
with a donut on his right	1	along.r.01	
cable skiing in	1		
with a cowboy	1		
guides for	1	lead.v.01	
falling behind	1		falling behind
in picnic with	1		
pile on	1		
goes around	1	become.v.01	
laying on h	1	put.v.01	
in a bottle of	1	in.r.01	
of a fork on	1	along.r.01	
playing frbee at	1		
laying against a	1		laying against
fastened with a	1		fastened with
has not started down	1	not.r.01	
blowing at	1	float.v.01	
pulled behind	1	pull.v.01	
on side view	1	see.v.05	
held upright by	1	be.v.01	
of stone	1	stone.v.01	
and partial lower	1		
matched with	1		
on floral print	1		
roasted in	1	in.r.01	
eating something with her	1		
putting object in	1		
that comes out of a	1		that comes out of
rushing up	1	up.r.01	
on serving	1	along.r.01	
beside a disposal	1		
are leading to building	1		leading to building
lifted up off	1		
full lof	1	fully.r.01	
on bank	1	along.r.01	
raised th	1	raise.v.02	
shaped om	1	be.v.01	
in trenchcoat talking on	1	talk.v.01	
walking carrying	1	be.v.01	
carrying water	1	be.v.01	
nosing up for	1		
holding one	1	have.v.01	
standing while wearing	1	stand.v.01	
ready to pet	1	fix.v.12	
readwearing a	1		readwearing
almost kissing	1	about.r.07	
with snow on its	1	along.r.01	
is mixed with	1	be.v.01	mixed with
skin looks	1		
of elephants	1		
using their	1	use.v.01	using their
texting someone by	1	by.r.01	
from brakes on	1	along.r.01	
taking off on a	1	necessitate.v.01	taking off on
taking off at an	1	necessitate.v.01	taking off at
coming from wheels of an	1	arrive.v.01	coming from wheels of
designed for doi	1	plan.v.03	
of pole on	1	be.v.01	
on sewing	1	along.r.01	
are watching their	1		watching their
are guarding their	1		guarding their
slants down from	1		
sits below	1		
and lettering on	1		
foot with ten	1		
not buttoned in	1		
on a guys	1		
catching wave on	1		
pieces on	1		
has dug up	1		
pushed off in corner behind	1		
ends right by an	1		ends right by
going to load	1		
walking toward its	1		
displayed near	1		
of a man and a boy with a	1	man.v.01	of a man and a boy with
plugged into wall	1	be.v.01	
has a wacky beehive	1	have.v.01	
stage	1	stage.v.01	
westward in	1	in.r.01	
dim	1	be.v.01	
singing	1	sing.v.01	
gathered for a	1	gather.v.01	gathered for
showing above	1	show.v.01	
appears as	1	look.v.02	
in distance near	1		
holding on one	1	have.v.01	
are behind chain link	1		behind chain link
nextti	1		
drinking out of a	1		drinking out of
riding away on	1	away.r.01	
being guided by	1	be.v.01	
up of	1		up of
and dog on a	1		and dog on
cow at back of a	1	back.r.01	cow at back of
are hearding	1	be.v.01	hearding
here and there on	1	here.r.01	
indicate a	1		indicate
sticking out toward	1	stay.v.02	
using cellphone	1	use.v.01	
has set up a	1		has set up
are on dogs	1		on dogs
of an adult	1		
used to create	1	use.v.01	
on window in	1	be.v.01	
appearing between trees	1	look.v.02	
stabs	1	jab.v.01	
wearing jacket	1	wear.v.01	
striking a baseball with	1	be.v.01	
clinching	1	clinch.v.01	
riding bicycle on	1	along.r.01	
rebounds from	1		
on closer side off	1		
flies as	1	equally.r.01	
standing out on	1	stand.v.01	
going down fast on	1		
being ate	1	be.v.01	
eating pizza	1	eat.v.01	
at a birthday	1		
going up from	1	become.v.01	
holding a game	1		
for sound from	1		
standing in some	1		
wagging on	1		
just after	1		
headline on	1		
with words across	1	give_voice.v.01	
of jesus	1		
sitting cross	1		
crouching against	1	crouch.v.01	
nike ten	1		
large tall	1		
gear and its	1		
red and white windsock on a	1		red and white windsock on
crouched with a	1		crouched with
officer standing in	1	stand.v.01	
enclosing in	1	insert.v.02	
cheers	1	cheer.v.05	
on a screen in	1	be.v.01	
written at bottom of	1	be.v.01	
examining a	1	be.v.01	examining
leaping after	1	subsequently.r.01	
next to te	1	next.r.01	
on shade	1	along.r.01	
under edge of a	1		under edge of
squeezed over	1	coerce.v.01	
being held over	1	be.v.01	
in median of	1	in.r.01	
smashed against	1		
above train station	1		
wearing black socks	1	wear.v.01	
turned down	1	become.v.02	
gravel on	1	along.r.01	
proppingup	1		
of traditional	1		
of stuffed	1	thrust.v.02	
tops above tree	1	above.r.01	
bending down in	1		bending down in
for scanning on	1	along.r.01	
piece on top of	1		
set back in	1		
frowns at	1	frown.v.01	
wallet with	1		
resting in some	1		
is full	1	be.v.01	full
is talking on the	1		talking on
shining on the	1		shining on
folded with	1	close_up.v.01	
taken a picture of	1		
used as part of	1	use.v.01	
in a c	1	in.r.01	
talk on	1	talk.v.01	
out open	1		
poking in	1		
being roped by	1		
are lininig	1		lininig
for standing on	1	stand.v.01	
starring intently at	1		
addition to	1		
playing the	1	play.v.01	playing
watches with	1	watch.v.01	
dressed by	1	by.r.01	
in lower	1	lower.v.01	
to a ceiling	1		
are tied to back of	1		tied to back of
splashing in a	1		splashing in
are standing with	1		standing with
painted on back of	1		
with a hiking	1	hike.v.01	
below closed	1		
for cutlery in background of	1	in.r.01	
playing ten on a	1		playing ten on
gliding behind	1		
cassting	1		
driving close to	1	drive.v.01	
crosscountry skiing in	1	traverse.v.01	
cut into an	1	reduce.v.01	cut into
grazing close to edge of	1	close.v.01	
about to bite a	1		about to bite
riding under	1		
behind back of	1		
supporting himself	1	digest.v.03	
baseball helmet on a	1		baseball helmet on
bumping fists with	1	find.v.01	
smiling showing	1	show.v.01	
on motorcycle has red	1		
concrete interior of a	1		concrete interior of
to get to or	1		
has a hint of a strip in	1		
lookingout of	1		
ouline	1		
that over	1	be.v.01	
parasailing near	1		
connected with a	1		connected with
has a blck	1	have.v.01	
along ski	1		
holding a plate with slice of	1	be.v.01	
and woman are eating pizza at a	1	be.v.01	and woman are eating pizza at
open of a soda	1	open.v.01	
for nearby	1	nearby.r.01	
with a hint of	1		
gently hitting	1		
window bringing in	1		
structure on underside of	1	along.r.01	
runs along a	1	run.v.01	runs along
deck on	1		
on beach in	1		
being created by fishing	1	be.v.01	
boat moving	1		
windows of	1		windows of
are frying in a	1	be.v.01	frying in
carrying womans	1	transport.v.02	
curled up at	1	up.r.01	
colored bicycle	1		
and vegetable	1		
carrying a plastic	1		
with a basket in	1		
flyiing	1		
being used for	1		
staring out through a	1	gaze.v.01	staring out through
spaced evenly between	1	be.v.01	
same as or	1	be.v.01	
skates fast on	1	along.r.01	
reflects a	1	chew_over.v.01	reflects
wearing a long black	1	be.v.01	
projected on a	1	visualize.v.01	projected on
standing and watching along	1	stand.v.01	
pilling	1		
clearing out	1	gain.v.08	
texting in her	1		
walking below	1	walk.v.01	
umpire stands close behind	1		
sitting side ways	1	sit.v.01	
of cat in	1		
of mouth	1		
bathroom vanity	1		
stands on patch of	1	stand.v.01	
flies down	1		
reflected of	1	be.v.01	
hanging oi n	1		
carrying cargo	1	transport.v.02	
are on floor of	1		on floor of
on front of display	1	along.r.01	
bridge to	1	bridge.v.01	
molded	1	determine.v.02	
registration number	1	total.v.01	
is across from white	1	be.v.01	across from white
with illuminated	1	light.v.01	
mounted on brick	1	along.r.01	
for break	1	be.v.01	
of refrigerate	1		
wrapped sausage on	1	along.r.01	
are extending	1		extending
looks like red	1	look.v.02	
being used to eat	1	be.v.01	
washes away	1	away.r.01	
with sign reading	1		
held out towards	1	have.v.01	
grasping video game	1		
has a lotof	1		
are running above	1	be.v.01	running above
covered in a layer of	1	traverse.v.01	
passes over a	1		passes over
using its	1	be.v.01	
behind and next to	1		
standing behind an	1	stand.v.01	standing behind
rolled down	1	down.r.01	
stacked upon	1		
wrapped under	1		wrapped under
starts with	1		
cautioning people to stop at	1		
beside a pool of	1		
ready to toss	1		
topping a	1		topping
are in field	1		in field
has a beige	1		
boy doesnt have a shirt	1		
standing gin front of	1	be.v.01	
pilled from	1		
driving side by side	1	drive.v.01	
has th	1		
zooming across	1		
stacked together on a	1		stacked together on
caging	1		
rolling under	1	roll.v.12	
wearing polo	1	wear.v.01	
leading out into	1	lead.v.01	
on or side of a	1		on or side of
on top of white	1		
in a dining	1		
in front with	1		
being chased by	1		
to climb into the	1		to climb into
holding stuff for	1		
scovered with	1	be.v.01	
surfing on the	1		surfing on
being fed	1	be.v.01	being fed
gushing down from	1	down.r.01	
deflecting	1	debar.v.02	
has hand in h	1		
teddy bears	1	hold.v.11	
w next to	1	next.r.01	
on trash	1	along.r.01	
of a longhorn	1		
from nearby	1	nearby.r.01	
flying kite on	1	along.r.01	
growing beyond	1	turn.v.07	
hay	1		
for wood	1		
skateboarding o	1		
laughing buddha	1		
arm with	1	arm.v.01	
dirty rock in	1		
has light and soft	1		
over part of	1	depart.v.03	
has a tusk of	1	have.v.01	
for drawing	1	be.v.01	
for painting	1	be.v.01	
held with tip of	1	be.v.01	
being drawn on	1	be.v.01	
of elephant has	1	have.v.01	
under chin on	1	be.v.01	
has a floppy	1	have.v.01	
down road from	1		
deeper in	1	profoundly.r.01	
videotaping from	1		
laying on upper corner of	1	put.v.01	
holding handles of	1	have.v.01	
with headband	1		
ten young	1		
to balconies in	1	in.r.01	
supported	1		
black wrought iron	1		
riding his surfboard in	1	depend_on.v.01	
senn through	1		
sitting on western	1		
standing side by side with	1		
hanging above street	1		
was taken years	1		
wearing red white and blue striped polo	1		
jet flying ahead of	1		
of snow on side of	1		
skateboarding on top of icy	1		
ahead on	1	along.r.01	
appears shorter than	1		
in frint of	1	in.r.01	
partially covered by by	1	traverse.v.01	
on boat	1	along.r.01	
ceiling of	1		
cook on	1	along.r.01	
in booth driving	1		
fading into	1		
sign white red and	1		
sign says to belle	1		
fabric sweater	1		
hangging on	1	along.r.01	
surrended by	1	by.r.01	
right brake light of black	1		
nearest to oncoming	1		
is infront of	1		infront of
shining through from	1	glitter.v.01	
climbing on to	1		
out by	1	away.r.02	
performs a	1		performs
below and left of	1	be.v.01	
jumping away from	1	be.v.01	
above and right o	1	be.v.01	
grow around	1	approximately.r.01	
woven in	1	in.r.01	
have split	1	have.v.01	
of rock	1	rock.v.01	
driving in a middle	1	drive.v.01	
flanked with	1	flank.v.01	
on moving	1	travel.v.01	
folded back on	1	back.r.01	
casting a shadow on	1	along.r.01	
sitting in shadow of	1		
has aa	1	have.v.01	
a center	1	be.v.01	center
in batting	1	in.r.01	
black on white	1	be.v.01	
red on white	1	be.v.01	
of face	1	be.v.01	
are hanging out of	1	be.v.01	hanging out of
crooked on	1	be.v.01	
knitted on	1	along.r.01	
growing on base of	1	establish.v.08	
jumps behind	1	jump.v.01	
of plush	1		
are draped around	1	be.v.01	draped around
has label of	1		
a bow	1		bow
a set of	1		set of
picture was taken in a	1		picture was taken in
arrow pointing	1		
of focus black	1		
book blue and	1		
providing water to	1		
ready for a man to	1	be.v.01	
tracks with a	1	traverse.v.01	tracks with
stretching over	1		
has legs under	1		
wearing unbuttoned	1	wear.v.01	
left brake	1		
right brake	1		
waling up	1	up.r.01	
tries to get a	1	get_down.v.07	tries to get
kicks a	1	complain.v.01	kicks
playing soccer against	1		
positioned next to	1		
full of dead	1	abruptly.r.01	
holding hand to	1	be.v.01	
folded against	1		
posing against	1		
for pouring	1	pour.v.01	
talking standing	1		
teaching behind	1		
shredding in	1	in.r.01	
flipped up of	1	up.r.01	
are bifurcating on	1		bifurcating on
devouring	1		
are chewing	1		chewing
splashing against	1		
almost covering	1	about.r.07	
driving with its	1		
a bar	1	be.v.01	bar
on mouse	1	be.v.01	
on top of computer	1	along.r.01	
through top of	1		
walking in rain holding	1		
coming out to	1		
leaning back over	1	back.r.01	
splashed across	1	across.r.01	
has paws in	1	have.v.01	
on a pitchers	1	along.r.01	
man on	1	along.r.01	man on
spread out	1	spread.v.01	
thin cloth	1		
creeping onto	1	crawl.v.01	
turning a	1		turning
playing soccer with a	1	play.v.01	playing soccer with
attempting to take	1		
fencing around	1	approximately.r.01	
showing another how to turn	1	become.v.02	
are doing	1	be.v.01	doing
has wedding	1	have.v.01	
cut hair	1	reduce.v.01	
play biting	1	play.v.01	
put up	1		
a mosquito	1	be.v.01	mosquito
gar around	1	approximately.r.01	
helps make a home for	1	make.v.01	
cowers above	1	above.r.01	
on display for	1	along.r.01	
roller blading	1		
and body of	1	body.v.01	
at horse	1		
floats along	1	along.r.01	
ready to go up	1	become.v.01	
glowing above	1	above.r.01	
applied on	1		
on a freezer	1	along.r.01	
leading upper	1	be.v.01	
leans to direct	1	lead.v.01	
paralleling	1	parallel.v.01	
hanging from oven	1	hang.v.01	
dirt ground along giraffe	1		
wearing burgundy	1		
turned on above	1	become.v.02	
covered up by	1		
has washed	1		
clawing	1		
a man wearing a black jacket	1	wear.v.01	man wearing a black jacket
opened and	1	be.v.01	
flowering on	1	along.r.01	
heap on	1		
brings a	1	bring.v.01	brings
perching near	1	be.v.01	
from birds	1		
cocking up	1	up.r.01	
ten racquet positioned	1		
flakes on in	1	along.r.01	
of pizza front of	1		
a cut piece of	1		cut piece of
charred piece of	1		
green floret of	1		
flushing a	1	be.v.01	flushing
hanging from a cats	1	hang.v.01	
extending left	1	leave.v.01	
over some	1		
thrown off from	1	hold.v.03	
strewn in	1		
are taking a	1	be.v.01	taking
wearing nice	1	be.v.01	
showing off an oddly shaped	1		
with of	1		
dividing for	1	divide.v.01	
in safety	1	in.r.01	
taking in a	1		taking in
handled by	1	cover.v.05	
practicing hitting	1	reach.v.01	
drying off with	1	away.r.01	
is watching	1		watching
is sitting on the	1		sitting on
going around bottom of	1		
hitting head on	1	reach.v.01	
prepares to descend down	1	down.r.01	
refects on	1	along.r.01	
with a muzzle	1	gag.v.01	
kit for	1		
on engine of	1	along.r.01	
clips on	1	along.r.01	
setting by	1	put.v.01	
back lit by	1	back.r.01	
as footrest for	1	equally.r.01	
drifts below	1	roll.v.12	
across the	1		across
lying on thee	1		
looking over edge of	1		
holding in womans	1	have.v.01	
pretending to brush	1	feign.v.01	
sewing a	1		sewing
made out	1		
crouching inside	1		
in rd floor of	1		
herding sheep toward	1	herd.v.01	
in group runnning	1	in.r.01	
giving herding commands to	1	give.v.01	
visible below	1	below.r.01	
of airport	1		
reaching above	1	achieve.v.01	
held off face with	1	have.v.01	
with buck	1	tear.v.03	
printed on bottom of	1		
hair an	1		hair
that come from	1	arrive.v.01	
flopped over	1	over.r.01	
in paint of	1	in.r.01	
si on	1		
on fornt of	1		
reflcted on	1		
with a huge	1		
not too	1		
stretching out in	1		
sitting on horse facing	1		
a top of	1		top of
persons left	1		
wearing horn rimmed	1	wear.v.01	
on above a	1		on above
lit up above	1		
are reflecting from	1		reflecting from
just threw a	1	merely.r.01	just threw
indicates form of	1	indicate.v.02	
says american	1	state.v.01	
unloaded	1		
dance	1		
fixing his	1	fix.v.12	
for herded	1	herd.v.01	
near in	1	about.r.07	
cover under	1		
is skiing in	1	be.v.01	skiing in
whit	1		whit
net on	1	along.r.01	
costing about	1	about.r.07	
double parked on	1	along.r.01	
has gotten hold of	1	have.v.01	
